album image,album_cover_url,album_title,album_url,album_url_copy,author,label,release_country,release_format,release_year
,http://s.pixogs.com/image/R-90-515207-1229544084.jpeg,Handsworth Revolution,http://www.discogs.com/Steel-Pulse-Handsworth-Revolution/master/137649,/Steel-Pulse-Handsworth-Revolution/master/137649,Steel Pulse,Island Records,UK,"LP, Album, Gat",1978
,http://s.pixogs.com/image/R-90-457099-1390169663-4021.jpeg,Present Arms,http://www.discogs.com/UB40-Present-Arms/master/88755,/UB40-Present-Arms/master/88755,UB40,DEP International|DEP International,UK,"LP, Album + 12""",1981
,http://s.pixogs.com/image/R-90-17569-1195423420.jpeg,Mango Walk,http://www.discogs.com/Chosen-Brothers-The--Bullwackies-All-Stars--Rhythm-Sound-Mango-Walk/release/17569,/Chosen-Brothers-The--Bullwackies-All-Stars--Rhythm-Sound-Mango-Walk/release/17569,Chosen Brothers* /|Bullwackie's All Stars* /|Rhythm & Sound,Rhythm & Sound|Wackie's,Germany,"12""",1998
,http://s.pixogs.com/image/R-90-1080196-1190564521.jpeg,Dub Side Of The Moon,http://www.discogs.com/Easy-Star-All-Stars-Dub-Side-Of-The-Moon/master/63029,/Easy-Star-All-Stars-Dub-Side-Of-The-Moon/master/63029,Easy Star All-Stars,Easy Star Records,US,"LP, Album, Ltd, Red",2003
,http://s.pixogs.com/image/R-90-191257-1263908919.jpeg,The Versions,http://www.discogs.com/Rhythm-Sound-The-Versions/master/74247,/Rhythm-Sound-The-Versions/master/74247,Rhythm & Sound,Burial Mix,Germany,"CD, Comp",2003
,http://s.pixogs.com/image/R-90-417798-1110714393.jpg,Quickness,http://www.discogs.com/Bad-Brains-Quickness/master/25199,/Bad-Brains-Quickness/master/25199,Bad Brains,Caroline Records,Europe,"LP, Album",1989
,http://s.pixogs.com/image/R-90-848545-1386025994-2075.jpeg,Living On My Own,http://www.discogs.com/Freddie-Mercury-Living-On-My-Own/master/37919,/Freddie-Mercury-Living-On-My-Own/master/37919,Freddie Mercury,CBS|CBS,UK,"7"", Single",1985
,http://s.pixogs.com/image/R-90-1098406-1193689668.jpeg,Smile,http://www.discogs.com/Rhythm-Sound-Smile/master/1560,/Rhythm-Sound-Smile/master/1560,Rhythm & Sound,Rhythm & Sound,Germany,"12"", Ltd, Tra",1999
,http://s.pixogs.com/image/R-90-108131-1263228863.jpeg,Club Classics Vol. One,http://www.discogs.com/Soul-II-Soul-Club-Classics-Vol-One/release/108131,/Soul-II-Soul-Club-Classics-Vol-One/release/108131,Soul II Soul,10 Records|10 Records,UK,"LP, Album",1989
,http://s.pixogs.com/image/R-90-151639-1342100790-6221.png,100% Dynamite!,http://www.discogs.com/Various-100-Dynamite/master/186714,/Various-100-Dynamite/master/186714,Various,Soul Jazz Records,UK,"2xLP, Comp",1998
,http://s.pixogs.com/image/R-90-649373-1365689526-1002.jpeg,Lovers Rock,http://www.discogs.com/Sade-Lovers-Rock/master/110957,/Sade-Lovers-Rock/master/110957,Sade,Epic|Epic,UK & Europe,"CD, Album",2000
,http://s.pixogs.com/image/R-90-728062-1346502420-8916.jpeg,Best Dressed Chicken In Town,http://www.discogs.com/Dr-Alimantado-Best-Dressed-Chicken-In-Town/master/91461,/Dr-Alimantado-Best-Dressed-Chicken-In-Town/master/91461,Dr. Alimantado,Greensleeves Records,UK,"LP, Album",1978
,http://s.pixogs.com/image/R-90-452920-1217809385.jpeg,Bam Bam,http://www.discogs.com/Sister-Nancy-Bam-Bam/master/215257,/Sister-Nancy-Bam-Bam/master/215257,Sister Nancy,Techniques,Jamaica,"7"", RE",
,http://s.pixogs.com/image/R-90-550028-1221573267.jpeg,Babylon By Bus,http://www.discogs.com/Bob-Marley-The-Wailers-Babylon-By-Bus/release/550028,/Bob-Marley-The-Wailers-Babylon-By-Bus/release/550028,Bob Marley & The Wailers,Island Records,Germany,"2xLP, Album",1978
,http://s.pixogs.com/image/R-90-5603274-1397747824-1805.jpeg,Sinsemilla,http://www.discogs.com/Black-Uhuru-Sinsemilla/master/35490,/Black-Uhuru-Sinsemilla/master/35490,Black Uhuru,Island Records,UK,"LP, Album",1980
,http://s.pixogs.com/image/R-90-612815-1300031578.jpeg,The Youth Of Today,http://www.discogs.com/Musical-Youth-The-Youth-Of-Today/master/603807,/Musical-Youth-The-Youth-Of-Today/master/603807,Musical Youth,MCA Records,Europe,"LP, Album",1982
,http://s.pixogs.com/image/R-90-1154457-1196547598.jpeg,Up Town Top Ranking / Calico Suit,http://www.discogs.com/Althia-Donna-Mighty-Two-Up-Town-Top-Ranking-Calico-Suit/master/170224,/Althia-Donna-Mighty-Two-Up-Town-Top-Ranking-Calico-Suit/master/170224,Althia & Donna* /|Mighty Two*,Lightning Records (2),UK,"7"", Single",1977
,http://s.pixogs.com/image/R-90-382601-1344694687-8119.jpeg,Doris Day En Andere Stukken,http://www.discogs.com/Doe-Maar-Doris-Day-En-Andere-Stukken/master/47405,/Doe-Maar-Doris-Day-En-Andere-Stukken/master/47405,Doe Maar,Killroy,Netherlands,"LP, Album",1982
